config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c51	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.1,0.1,0.1	70000
c52	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.2,0.2,0.2	70000
c53	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.3,0.3,0.3	70000
c54	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.4,0.4,0.4	70000
c55	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.5,0.5,0.5	70000
c56	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.6,0.6,0.6	70000
c57	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.7,0.7,0.7	70000
c58	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.8,0.8,0.8	70000
c59	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.9,0.9,0.9	70000
c60	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.0,0.0,0.0	70000
